delta_rating,map_id,delta_map_wr_windowed,map_missing_flag,LAN_flag,h2h_shrunk,h2h_count
-33,6,-0.5,0,0,0,2
28,2,-0.25,0,0,-1,1
19,1,1.0,0,1,0,0
-41,0,-0.67,0,0,-2,8
-30,1,-0.36,0,0,0,0
-8,6,0.0,0,1,-1,1
-67,4,0.07,0,0,0,2
130,5,-0.5,0,0,0,2
-33,0,1.0,0,0,1,1
-33,2,1.0,0,0,0,2
38,2,-0.33,0,0,0,0
-8,0,-0.1,0,0,-3,3
-25,6,0,1,0,-1,1
-5,4,0,1,0,0,0
-30,2,-0.25,0,1,0,0
26,0,-0.33,0,0,0,4
-62,2,0.07,0,0,1,1
72,4,0.0,0,0,1,1
34,3,0.71,0,0,-1,1
-24,0,-0.29,0,1,2,2
-39,2,0.33,0,1,1,1
-67,5,-1.0,0,0,-1,1
40,4,-0.24,0,1,0,0
30,4,-1.0,0,1,0,0
72,1,-0.6,0,0,1,1
90,1,0.6,0,0,0,0
-56,2,0.33,0,0,1,1
64,2,0.17,0,0,0,2
4,6,-1.0,0,1,0,2
15,1,-0.43,0,0,1,3
32,1,-0.4,0,0,0,0
-159,4,0,1,1,0,2
-29,0,0.4,0,0,1,1
-17,2,0.07,0,0,0,0
-44,6,0,1,1,0,2
28,0,0.67,0,1,0,2
-2,3,0.0,0,0,0,2
-21,6,0,1,1,1,1
62,3,-0.5,0,0,1,1
-20,2,0,1,1,0,0
31,4,0.3,0,1,-2,2
29,6,0.5,0,1,1,5
-1,2,-0.5,0,0,1,1
54,2,0.67,0,0,0,0
-11,4,0.83,0,1,1,5
129,1,0.6,0,0,1,1
-6,2,1.0,0,1,1,3
-62,0,0.46,0,0,0,0
2,1,0.44,0,1,-2,4
83,0,0.0,0,1,0,0
-36,2,0.0,0,1,-1,1
7,4,-0.67,0,1,1,3
-106,3,-0.27,0,1,1,1
60,2,-0.23,0,0,-1,5
-161,5,0.0,0,0,-1,1
-6,3,-0.5,0,0,1,1
-16,6,0.0,0,0,0,0
-50,2,-0.5,0,0,-1,1
-97,2,0.07,0,0,0,0
-26,1,-0.71,0,0,3,3
-22,1,0.17,0,0,0,2
-79,0,0.5,0,1,1,5
-94,4,-0.29,0,0,-1,1
-102,4,0.17,0,0,1,1
-7,6,-0.75,0,0,-1,3
8,2,-0.33,0,1,0,0
-140,1,0,1,1,0,0
-29,4,0.0,0,1,0,0
37,1,0.0,0,0,-1,1
